"","X","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1",1,"H_ASCI_DS_Dur_WS_0.75_Positive",42.1033550221967,15.7794070412797,1.72576623483795,111,"Positive","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"2",2,"H_ASCI_DS_Mag_50_0.75_Positive",0.304558415001137,0.0976574237038108,0.0097132765370911,222,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_50"
"3",3,"H_ASCI_DS_Mag_90_0.75_Positive",0.50657826987112,0.165438583133722,0.0165565375233666,205,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_90"
"4",4,"H_ASCI_DS_Tim_0.75_Positive",9.93634273016944,3.62330315275361,0.388999304007608,116,"Positive","ASCI","H_ASCI",0.75,"DS_Tim"
"5",5,"H_ASCI_FA_Dur_0.75_Positive",1.54642960921427,0.547704360179622,0.055149071866908,22,"Positive","ASCI","H_ASCI",0.75,"FA_Dur"
"6",6,"H_ASCI_FA_Mag_0.75_Positive",54.1606644805063,18.1591455288161,1.93883747357778,31,"Positive","ASCI","H_ASCI",0.75,"FA_Mag"
"7",7,"H_ASCI_FA_Tim_0.75_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.75,"FA_Tim"
"8",8,"H_ASCI_Q99_0.75_Positive",389.04909621729,124.795108984629,12.3628593929319,278,"Positive","ASCI","H_ASCI",0.75,"Q99"
"9",9,"H_ASCI_SP_Dur_0.75_Positive",24.2436159672411,8.9691611012788,0.951787068828657,114,"Positive","ASCI","H_ASCI",0.75,"SP_Dur"
"10",10,"H_ASCI_SP_Mag_0.75_Positive",298.359780815399,95.0940762137312,9.39017924199702,235,"Positive","ASCI","H_ASCI",0.75,"SP_Mag"
"11",11,"H_ASCI_SP_ROC_0.75_Positive",0.0154170319815514,0.00498592279300088,0.000498395281971625,183,"Positive","ASCI","H_ASCI",0.75,"SP_ROC"
"12",12,"H_ASCI_SP_Tim_0.75_Positive",15.5537740495727,5.27823320866674,0.542235015916897,256,"Positive","ASCI","H_ASCI",0.75,"SP_Tim"
"13",13,"H_ASCI_Wet_BFL_Dur_0.75_Positive",27.7294790499604,9.46246632643345,0.968303054875581,268,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Dur"
"14",14,"H_ASCI_Wet_BFL_Mag_10_0.75_Positive",0.657601910903353,0.220494371323563,0.0221304335844258,166,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_10"
"15",15,"H_ASCI_Wet_BFL_Mag_50_0.75_Positive",4.32866665536471,1.25213683283044,0.130128516792285,167,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_50"
"16",16,"H_ASCI_Wet_Tim_0.75_Positive",5.93618667003216,2.45756068577039,0.289489502131874,96,"Positive","ASCI","H_ASCI",0.75,"Wet_Tim"
"17",17,"H_ASCI_DS_Dur_WS_0.86_Positive",32.0321135785974,10.8065030668284,1.10266059701743,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"18",18,"H_ASCI_DS_Mag_50_0.86_Positive",0.14832011659144,0.0457905481145052,0.00445568325169276,222,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"19",19,"H_ASCI_DS_Mag_90_0.86_Positive",0.267795689056616,0.0833914933908484,0.00814649425476516,205,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_90"
"20",20,"H_ASCI_DS_Tim_0.86_Positive",9.86916423261039,3.37338176005436,0.346032053367696,116,"Positive","ASCI","H_ASCI",0.86,"DS_Tim"
